,cov,sleep
615,1.0,0.04
616,1.0,0.09
617,1.0,0.08
618,1.0,0.07
619,1.0,0.06
620,1.0,0.04
621,1.0,0.04
622,1.0,0.04
623,1.0,0.03
624,1.0,0.06
625,1.0,0.06
626,1.0,0.03
627,1.0,0.06
628,1.0,0.05
629,1.0,0.06
630,1.0,0.07
631,1.0,0.03
632,1.0,0.05
633,1.0,0.06
634,1.0,0.04
635,0.9998999834060669,0.07
636,1.0,0.06
637,1.0,0.05
638,1.0,0.04
639,0.9998999834060669,0.05
640,1.0,0.07
641,1.0,0.05
642,1.0,0.05
643,1.0,0.06
644,1.0,0.03
645,1.0,0.04
646,1.0,0.02
647,1.0,0.04
648,1.0,0.06
649,1.0,0.05
650,1.0,0.04
651,1.0,0.03
652,0.9998999834060669,0.04
653,1.0,0.06
654,1.0,0.05
655,1.0,0.06
656,1.0,0.07
657,1.0,0.03
658,1.0,0.06
659,1.0,0.05
660,0.9998999834060669,0.08
661,1.0,0.05
662,1.0,0.05
663,1.0,0.06
664,1.0,0.09
665,1.0,0.05
666,1.0,0.05
667,1.0,0.01
668,1.0,0.01
669,1.0,0.07
670,1.0,0.07
671,1.0,0.05
672,1.0,0.04
673,1.0,0.07
674,0.9996999502182007,0.06
675,1.0,0.07
676,0.9990997910499573,0.06
677,0.9977995753288269,0.08
678,0.9996999502182007,0.06
679,0.9998999834060669,0.04
680,1.0,0.07
681,0.9998999834060669,0.05
682,0.9998999834060669,0.07
683,1.0,0.05
684,1.0,0.06
685,1.0,0.06
686,1.0,0.07
687,1.0,0.03
688,1.0,0.07
689,1.0,0.08
690,1.0,0.05
691,1.0,0.08
692,1.0,0.05
693,0.9989997744560242,0.05
694,1.0,0.06
695,1.0,0.01
696,1.0,0.07
697,1.0,0.05
698,1.0,0.04
699,1.0,0.05
700,1.0,0.05
701,1.0,0.03
702,1.0,0.07
703,1.0,0.07
704,1.0,0.03
705,1.0,0.05
706,1.0,0.03
707,1.0,0.05
708,1.0,0.05
709,1.0,0.07
710,1.0,0.04
711,1.0,0.06
712,1.0,0.08
713,1.0,0.07
714,1.0,0.06
715,1.0,0.06
716,1.0,0.06
717,1.0,0.05
718,1.0,0.04
719,1.0,0.07
720,1.0,0.08
721,0.9998999834060669,0.08
722,0.9990997910499573,0.04
723,0.9998999834060669,0.06
724,0.9998999834060669,0.03
725,0.9989997744560242,0.05
726,1.0,0.08
727,1.0,0.05
728,1.0,0.08
729,1.0,0.07
730,1.0,0.09
731,1.0,0.03
732,0.9990997910499573,0.06
733,1.0,0.04
734,0.9998999834060669,0.04
735,1.0,0.06
736,0.9977995753288269,0.06
737,1.0,0.04
738,0.9998999834060669,0.08
739,1.0,0.02
740,1.0,0.04
741,0.9998999834060669,0.08
742,1.0,0.05
743,1.0,0.04
744,0.9998999834060669,0.06
745,0.9998999834060669,0.07
746,1.0,0.03
747,0.9996999502182007,0.05
748,0.9998999834060669,0.06
749,1.0,0.08
750,1.0,0.04
751,1.0,0.05
752,0.9996999502182007,0.05
753,1.0,0.04
754,1.0,0.05
755,1.0,0.08
756,1.0,0.06
757,1.0,0.07
758,1.0,0.07
759,1.0,0.06
760,1.0,0.02
761,1.0,0.06
762,1.0,0.05
763,1.0,0.05
764,1.0,0.07
765,1.0,0.07
766,1.0,0.05
767,1.0,0.04
768,1.0,0.04
769,1.0,0.06
770,0.9998999834060669,0.09
771,1.0,0.05
772,1.0,0.09
773,0.9998999834060669,0.05
774,1.0,0.04
775,1.0,0.01
776,1.0,0.05
777,1.0,0.03
778,1.0,0.05
779,0.9998999834060669,0.08
780,1.0,0.04
781,0.9998999834060669,0.04
782,1.0,0.08
783,1.0,0.08
784,0.9998999834060669,0.09
785,1.0,0.02
786,1.0,0.09
787,1.0,0.05
788,1.0,0.04
789,1.0,0.03
790,1.0,0.06
791,1.0,0.05
792,1.0,0.03
793,1.0,0.06
794,1.0,0.09
795,1.0,0.07
796,1.0,0.05
797,1.0,0.05
798,1.0,0.05
799,1.0,0.02
800,1.0,0.07
801,0.9990997910499573,0.03
802,1.0,0.08
803,1.0,0.08
804,1.0,0.06
805,1.0,0.08
806,1.0,0.05
807,1.0,0.04
808,1.0,0.07
809,1.0,0.04
810,1.0,0.06
811,1.0,0.06
812,1.0,0.03
813,1.0,0.1
814,1.0,0.05
815,1.0,0.04
816,1.0,0.04
817,0.9996999502182007,0.04
818,1.0,0.04
819,1.0,0.07
820,1.0,0.08
821,1.0,0.02
822,1.0,0.08
823,1.0,0.04
824,1.0,0.06
825,1.0,0.07
826,1.0,0.05
827,1.0,0.07
828,1.0,0.06
829,1.0,0.07
830,1.0,0.06
831,1.0,0.07
832,1.0,0.07
833,1.0,0.07
834,1.0,0.02
835,0.9977995753288269,0.02
836,1.0,0.06
837,1.0,0.06
838,0.9998999834060669,0.06
839,0.9996999502182007,0.04
840,1.0,0.05
841,1.0,0.02
842,0.9998999834060669,0.05
843,0.9977995753288269,0.07
844,1.0,0.04
845,1.0,0.07
846,1.0,0.07
847,0.9977995753288269,0.04
848,1.0,0.05
849,1.0,0.06
850,1.0,0.05
851,0.9990997910499573,0.05
852,1.0,0.04
853,1.0,0.06
854,1.0,0.06
855,0.9998999834060669,0.06
856,1.0,0.03
857,1.0,0.09
858,0.9998999834060669,0.07
859,1.0,0.07
860,1.0,0.05
861,1.0,0.06
862,0.9998999834060669,0.02
863,1.0,0.07
864,1.0,0.06
865,1.0,0.08
866,1.0,0.04
867,1.0,0.06
868,0.9998999834060669,0.05
869,1.0,0.07
870,1.0,0.05
871,1.0,0.06
872,1.0,0.06
873,1.0,0.06
874,1.0,0.03
875,1.0,0.06
876,1.0,0.07
877,1.0,0.05
878,0.9977995753288269,0.05
879,1.0,0.05
880,1.0,0.03
881,1.0,0.08
882,1.0,0.04
883,1.0,0.03
884,0.9998999834060669,0.04
885,1.0,0.05
886,0.9995999336242676,0.06
887,1.0,0.05
888,1.0,0.04
889,1.0,0.1
890,1.0,0.05
891,1.0,0.05
892,1.0,0.04
893,1.0,0.07
894,1.0,0.07
895,1.0,0.03
896,0.9998999834060669,0.07
897,1.0,0.06
898,1.0,0.05
899,1.0,0.06
900,1.0,0.05
901,1.0,0.05
902,1.0,0.01
903,1.0,0.04
904,0.9996999502182007,0.04
905,0.9998999834060669,0.06
906,0.9990997910499573,0.05
907,1.0,0.05
908,1.0,0.07
909,1.0,0.07
910,1.0,0.06
911,0.9998999834060669,0.08
912,0.9998999834060669,0.06
913,0.9998999834060669,0.07
914,1.0,0.05
915,0.9976995587348938,0.08
916,1.0,0.06
917,0.9998999834060669,0.05
918,1.0,0.03
919,0.9997999668121338,0.07
920,1.0,0.06
921,1.0,0.07
922,1.0,0.03
923,0.9990997910499573,0.04
924,1.0,0.07
925,1.0,0.06
926,1.0,0.08
927,0.9998999834060669,0.07
928,1.0,0.05
929,0.9998999834060669,0.04
930,1.0,0.04
931,1.0,0.04
932,1.0,0.06
933,1.0,0.07
934,1.0,0.06
935,1.0,0.03
936,1.0,0.03
937,1.0,0.06
938,0.9990997910499573,0.08
939,1.0,0.05
940,0.9997999668121338,0.06
941,1.0,0.04
942,1.0,0.06
943,1.0,0.08
944,1.0,0.07
945,1.0,0.06
946,1.0,0.05
947,0.9990997910499573,0.07
948,1.0,0.02
949,1.0,0.06
950,0.9998999834060669,0.07
951,1.0,0.02
952,1.0,0.05
953,1.0,0.03
954,1.0,0.05
955,0.9990997910499573,0.08
956,1.0,0.03
957,0.9990997910499573,0.05
958,0.9994999170303345,0.06
959,1.0,0.07
960,1.0,0.04
961,1.0,0.06
962,0.9998999834060669,0.06
963,1.0,0.06
964,0.9984996914863586,0.04
965,1.0,0.08
966,0.9998999834060669,0.06
967,1.0,0.05
968,1.0,0.07
969,1.0,0.04
970,0.9977995753288269,0.06
971,1.0,0.06
972,0.9990997910499573,0.07
973,1.0,0.06
974,0.9990997910499573,0.07
975,1.0,0.04
976,0.9996999502182007,0.07
977,0.9982996582984924,0.08
978,1.0,0.04
979,1.0,0.05
980,1.0,0.06
981,1.0,0.05
982,0.9989997744560242,0.08
983,1.0,0.08
984,1.0,0.07
985,1.0,0.04
986,1.0,0.06
987,0.9989997744560242,0.06
988,1.0,0.05
989,0.9998999834060669,0.08
990,1.0,0.05
991,1.0,0.05
992,0.9998999834060669,0.08
993,1.0,0.06
994,0.9998999834060669,0.07
995,1.0,0.09
996,1.0,0.06
997,1.0,0.04
998,1.0,0.05
999,0.9989997744560242,0.08
1000,1.0,0.07
1001,0.9996999502182007,0.09
1002,1.0,0.04
1003,1.0,0.03
1004,1.0,0.09
1005,1.0,0.04
1006,1.0,0.06
1007,1.0,0.06
1008,1.0,0.03
1009,1.0,0.02
1010,1.0,0.03
1011,1.0,0.06
1012,1.0,0.1
1013,1.0,0.05
1014,1.0,0.07
1015,1.0,0.06
1016,1.0,0.06
1017,0.9997999668121338,0.07
1018,1.0,0.03
1019,1.0,0.04
1020,1.0,0.1
1021,1.0,0.02
1022,0.9998999834060669,0.05
1023,1.0,0.07
1024,1.0,0.03
1025,1.0,0.07
1026,0.9998999834060669,0.09
1027,1.0,0.06
1028,1.0,0.06
1029,1.0,0.06
1030,1.0,0.05
1031,1.0,0.05
1032,1.0,0.06
1033,1.0,0.03
1034,1.0,0.06
1035,0.9990997910499573,0.04
1036,1.0,0.07
1037,1.0,0.05
1038,1.0,0.06
1039,1.0,0.03
1040,1.0,0.05
1041,1.0,0.06
1042,1.0,0.02
1043,1.0,0.06
1044,0.9996999502182007,0.06
1045,1.0,0.05
1046,1.0,0.06
1047,1.0,0.04
1048,1.0,0.03
1049,1.0,0.05
1050,0.9990997910499573,0.07
1051,1.0,0.04
1052,1.0,0.03
1053,1.0,0.08
1054,1.0,0.09
1055,1.0,0.05
1056,0.9990997910499573,0.04
1057,1.0,0.08
1058,1.0,0.07
1059,1.0,0.07
1060,0.9998999834060669,0.07
1061,0.9996999502182007,0.05
1062,0.9990997910499573,0.06
1063,0.9998999834060669,0.04
1064,1.0,0.05
1065,0.9998999834060669,0.08
1066,1.0,0.03
1067,0.9998999834060669,0.06
1068,1.0,0.05
1069,1.0,0.06
1070,1.0,0.06
1071,1.0,0.04
1072,0.9977995753288269,0.08
1073,1.0,0.04
1074,1.0,0.05
1075,1.0,0.04
1076,1.0,0.04
1077,1.0,0.06
1078,0.9990997910499573,0.08
1079,1.0,0.03
1080,1.0,0.06
1081,1.0,0.07
1082,0.9998999834060669,0.04
1083,1.0,0.04
1084,1.0,0.07
1085,1.0,0.06
1086,1.0,0.05
